Identifier	seqid	gene_id	strand	start	end	width	gc	isPresent	log2 Ratio	pValue	fdr	wt_1 [normalized count]	wt_2 [normalized count]	mut_1 [normalized count]	mut_2 [normalized count]	wt_1 [FPKM]	wt_2 [FPKM]	mut_1 [FPKM]	mut_2 [FPKM]
YMR119W-A	XIII	YMR119W-A	+	506996	507370	375	0.3467	FALSE	0	1	NA	0	0	0	0	0	0	0	0
YMR122W-A	XIII	YMR122W-A	+	511315	511569	255	0.498	FALSE	0	1	NA	0	0	0	0	0	0	0	0
YMR123W	XIII	YMR123W	+	513593	513961	369	0.4255	FALSE	0	1	NA	0	0	0	0	0	0	0	0
YMR125W	XIII	YMR125W	+	517539; 517886	517563; 520446	2586	0.3438	FALSE	0	1	NA	0	0	0	0	0	0	0	0
YMR135W-A	XIII	YMR135W-A	+	539911	540444	534	0.4532	FALSE	0	1	NA	0	0	0	0	0	0	0	0
YMR138W	XIII	YMR138W	+	545155	545730	576	0.4149	FALSE	0	1	NA	0	0	0	0	0	0	0	0
YMR139W	XIII	YMR139W	+	546125	547237	1113	0.3738	FALSE	0	1	NA	0	0	0	0	0	0	0	0
YMR140W	XIII	YMR140W	+	547714	549183	1470	0.3959	FALSE	0	1	NA	0	0	0	0	0	0	0	0
YMR141C	XIII	YMR141C	-	549736	550044	309	0.356	FALSE	0	1	NA	0	0	0	0	0	0	0	0
YMR142C	XIII	YMR142C	-	550206; 551204	550801; 551207	600	0.4417	FALSE	0	1	NA	0	0	0	0	0	0	0	0
YMR143W	XIII	YMR143W	+	551928; 552496	551951; 552903	432	0.3981	FALSE	0	1	NA	0	0	0	0	0	0	0	0
YMR144W	XIII	YMR144W	+	553362	554390	1029	0.381	FALSE	0	1	NA	0	0	0	0	0	0	0	0
YMR146C	XIII	YMR146C	-	557481	558524	1044	0.4262	FALSE	0	1	NA	0	0	0	0	0	0	0	0
YMR150C	XIII	YMR150C	-	561956	562528	573	0.4119	FALSE	0	1	NA	0	0	0	0	0	0	0	0
YMR153W	XIII	YMR153W	+	564435	565862	1428	0.3922	FALSE	0	1	NA	0	0	0	0	0	0	0	0
YMR153C-A	XIII	YMR153C-A	-	565574	565909	336	0.381	FALSE	0	1	NA	0	0	0	0	0	0	0	0
YMR155W	XIII	YMR155W	+	568551	570194	1644	0.3838	FALSE	0	1	NA	0	0	0	0	0	0	0	0
YMR158W	XIII	YMR158W	+	572248	572715	468	0.391	FALSE	0	1	NA	0	0	0	0	0	0	0	0
tM(CAU)M	XIII	tM(CAU)M	-	572883	572955	73	0.5205	FALSE	0	1	NA	0	0	0	0	0	0	0	0
YMR158C-A	XIII	YMR158C-A	-	573194	573331	138	0.3406	FALSE	0	1	NA	0	0	0	0	0	0	0	0
YMR159C	XIII	YMR159C	-	574476	574928	453	0.3687	FALSE	0	1	NA	0	0	0	0	0	0	0	0
YMR161W	XIII	YMR161W	+	577718	578392	675	0.4252	FALSE	0	1	NA	0	0	0	0	0	0	0	0
YMR163C	XIII	YMR163C	-	584271	586388	2118	0.3569	FALSE	0	1	NA	0	0	0	0	0	0	0	0
tV(AAC)M3	XIII	tV(AAC)M3	-	586636	586709	74	0.527	FALSE	0	1	NA	0	0	0	0	0	0	0	0
YMR165C	XIII	YMR165C	-	590040	592628	2589	0.4098	FALSE	0	1	NA	0	0	0	0	0	0	0	0
YMR166C	XIII	YMR166C	-	593367	594473	1107	0.4291	FALSE	0	1	NA	0	0	0	0	0	0	0	0
YMR168C	XIII	YMR168C	-	597332	599158	1827	0.3695	FALSE	0	1	NA	0	0	0	0	0	0	0	0
YMR172C-A	XIII	YMR172C-A	-	607828	608211	384	0.3828	FALSE	0	1	NA	0	0	0	0	0	0	0	0
YMR173W	XIII	YMR173W	+	608689	609981	1293	0.3921	FALSE	0	1	NA	0	0	0	0	0	0	0	0
YMR173W-A	XIII	YMR173W-A	+	608897	610081	1185	0.3924	FALSE	0	1	NA	0	0	0	0	0	0	0	0
YMR174C	XIII	YMR174C	-	610159	610365	207	0.4251	FALSE	0	1	NA	0	0	0	0	0	0	0	0
YMR175W	XIII	YMR175W	+	611016	611255	240	0.4167	FALSE	0	1	NA	0	0	0	0	0	0	0	0
YMR175W-A	XIII	YMR175W-A	+	611314	611508	195	0.3282	FALSE	0	1	NA	0	0	0	0	0	0	0	0
YMR180C	XIII	YMR180C	-	622251	623213	963	0.3956	FALSE	0	1	NA	0	0	0	0	0	0	0	0
YMR182C	XIII	YMR182C	-	624532	625167	636	0.4513	FALSE	0	1	NA	0	0	0	0	0	0	0	0
YMR182W-A	XIII	YMR182W-A	+	625811	625897	87	0.3793	FALSE	0	1	NA	0	0	0	0	0	0	0	0
snR83	XIII	snR83	+	626349	626654	306	0.3562	FALSE	0	1	NA	0	0	0	0	0	0	0	0
YMR187C	XIII	YMR187C	-	634689	635984	1296	0.3619	FALSE	0	1	NA	0	0	0	0	0	0	0	0
YMR193C-A	XIII	YMR193C-A	-	651072	651458	387	0.3307	FALSE	0	1	NA	0	0	0	0	0	0	0	0
snR11	XIII	snR11	+	652275	652532	258	0.3527	FALSE	0	1	NA	0	0	0	0	0	0	0	0
YMR194C-B	XIII	YMR194C-B	-	652594; 652848	652775; 652887	222	0.4505	FALSE	0	1	NA	0	0	0	0	0	0	0	0
YMR194C-A	XIII	YMR194C-A	-	652912	653136	225	0.4311	FALSE	0	1	NA	0	0	0	0	0	0	0	0
YMR195W	XIII	YMR195W	+	654034	654417	384	0.4349	FALSE	0	1	NA	0	0	0	0	0	0	0	0
YMR197C	XIII	YMR197C	-	658545	659198	654	0.3853	FALSE	0	1	NA	0	0	0	0	0	0	0	0
YMR200W	XIII	YMR200W	+	664752	665522	771	0.4021	FALSE	0	1	NA	0	0	0	0	0	0	0	0
RNA170	XIII	RNA170	-	667288	667456	169	0.4556	FALSE	0	1	NA	0	0	0	0	0	0	0	0
YMR204C	XIII	YMR204C	-	670063	671325	1263	0.3682	FALSE	0	1	NA	0	0	0	0	0	0	0	0
YMR210W	XIII	YMR210W	+	687516	688865	1350	0.3904	FALSE	0	1	NA	0	0	0	0	0	0	0	0
YMR211W	XIII	YMR211W	+	689083	690510	1428	0.3739	FALSE	0	1	NA	0	0	0	0	0	0	0	0
YMR214W	XIII	YMR214W	+	695350	696483	1134	0.4524	FALSE	0	1	NA	0	0	0	0	0	0	0	0
YMR215W	XIII	YMR215W	+	696796	698370	1575	0.3981	FALSE	0	1	NA	0	0	0	0	0	0	0	0
YMR217W	XIII	YMR217W	+	701790	703367	1578	0.4144	FALSE	0	1	NA	0	0	0	0	0	0	0	0
YMR220W	XIII	YMR220W	+	712316	713671	1356	0.3982	FALSE	0	1	NA	0	0	0	0	0	0	0	0
YMR226C	XIII	YMR226C	-	721593	722396	804	0.4378	FALSE	0	1	NA	0	0	0	0	0	0	0	0
YMR228W	XIII	YMR228W	+	724626	725651	1026	0.3626	FALSE	0	1	NA	0	0	0	0	0	0	0	0
YMR230W-A	XIII	YMR230W-A	+	733268	733456	189	0.3069	FALSE	0	1	NA	0	0	0	0	0	0	0	0
YMR233W	XIII	YMR233W	+	739185	739865	681	0.3759	FALSE	0	1	NA	0	0	0	0	0	0	0	0
tR(UCU)M1	XIII	tR(UCU)M1	-	747892	747963	72	0.5417	FALSE	0	1	NA	0	0	0	0	0	0	0	0
YMR239C	XIII	YMR239C	-	748262	749677	1416	0.3581	FALSE	0	1	NA	0	0	0	0	0	0	0	0
YMR241W	XIII	YMR241W	+	751961	752905	945	0.419	FALSE	0	1	NA	0	0	0	0	0	0	0	0
YMR242W-A	XIII	YMR242W-A	+	754297	754386	90	0.4778	FALSE	0	1	NA	0	0	0	0	0	0	0	0
YMR244C-A	XIII	YMR244C-A	-	758517	758831	315	0.4571	FALSE	0	1	NA	0	0	0	0	0	0	0	0
tA(AGC)M2	XIII	tA(AGC)M2	-	768369	768441	73	0.6438	FALSE	0	1	NA	0	0	0	0	0	0	0	0
YMR247W-A	XIII	YMR247W-A	+	769283	769426	144	0.4375	FALSE	0	1	NA	0	0	0	0	0	0	0	0
YMR251W-A	XIII	YMR251W-A	+	774752	774931	180	0.4667	FALSE	0	1	NA	0	0	0	0	0	0	0	0
YMR252C	XIII	YMR252C	-	775315	775719	405	0.4	FALSE	0	1	NA	0	0	0	0	0	0	0	0
YMR254C	XIII	YMR254C	-	777615	777923	309	0.3689	FALSE	0	1	NA	0	0	0	0	0	0	0	0
YMR256C	XIII	YMR256C	-	778945	779127	183	0.3825	FALSE	0	1	NA	0	0	0	0	0	0	0	0
YMR258C	XIII	YMR258C	-	782620	784281	1662	0.3676	FALSE	0	1	NA	0	0	0	0	0	0	0	0
YMR260C	XIII	YMR260C	-	789378	789839	462	0.3701	FALSE	0	1	NA	0	0	0	0	0	0	0	0
YMR263W	XIII	YMR263W	+	794919	795524	606	0.4356	FALSE	0	1	NA	0	0	0	0	0	0	0	0
YMR265C	XIII	YMR265C	-	796540	797925	1386	0.4322	FALSE	0	1	NA	0	0	0	0	0	0	0	0
YMR268C	XIII	YMR268C	-	802888	804222	1335	0.3678	FALSE	0	1	NA	0	0	0	0	0	0	0	0
YMR269W	XIII	YMR269W	+	804456	805091	636	0.3821	FALSE	0	1	NA	0	0	0	0	0	0	0	0
YMR270C	XIII	YMR270C	-	805326	806423	1098	0.3807	FALSE	0	1	NA	0	0	0	0	0	0	0	0
tQ(CUG)M	XIII	tQ(CUG)M	-	808246	808317	72	0.5139	FALSE	0	1	NA	0	0	0	0	0	0	0	0
YMR272C	XIII	YMR272C	-	809623	810777	1155	0.4251	FALSE	0	1	NA	0	0	0	0	0	0	0	0
YMR272W-A	XIII	YMR272W-A	+	810466	810579	114	0.4474	FALSE	0	1	NA	0	0	0	0	0	0	0	0
YMR272W-B	XIII	YMR272W-B	+	811089	811196	108	0.4259	FALSE	0	1	NA	0	0	0	0	0	0	0	0
YMR274C	XIII	YMR274C	-	814364	815311	948	0.3819	FALSE	0	1	NA	0	0	0	0	0	0	0	0
YMR281W	XIII	YMR281W	+	832339	833253	915	0.376	FALSE	0	1	NA	0	0	0	0	0	0	0	0
tY(GUA)M2	XIII	tY(GUA)M2	+	837928; 837981	837966; 838016	75	0.56	FALSE	0	1	NA	0	0	0	0	0	0	0	0
YMR286W	XIII	YMR286W	+	841942	842202	261	0.4253	FALSE	0	1	NA	0	0	0	0	0	0	0	0
YMR289W	XIII	YMR289W	+	848685	849809	1125	0.3849	FALSE	0	1	NA	0	0	0	0	0	0	0	0
YMR290C	XIII	YMR290C	-	850074	851591	1518	0.3781	FALSE	0	1	NA	0	0	0	0	0	0	0	0
YMR291W	XIII	YMR291W	+	852630	854390	1761	0.4117	FALSE	0	1	NA	0	0	0	0	0	0	0	0
YMR293C	XIII	YMR293C	-	855399	856793	1395	0.3828	FALSE	0	1	NA	0	0	0	0	0	0	0	0
YMR298W	XIII	YMR298W	+	863819	864271	453	0.4062	FALSE	0	1	NA	0	0	0	0	0	0	0	0
YMR301C	XIII	YMR301C	-	867555	869627	2073	0.4129	FALSE	0	1	NA	0	0	0	0	0	0	0	0
YMR306C-A	XIII	YMR306C-A	-	886183	886572	390	0.3949	FALSE	0	1	NA	0	0	0	0	0	0	0	0
YMR307W	XIII	YMR307W	+	887003	888682	1680	0.4161	FALSE	0	1	NA	0	0	0	0	0	0	0	0
YMR307C-A	XIII	YMR307C-A	-	887731	887925	195	0.3692	FALSE	0	1	NA	0	0	0	0	0	0	0	0
YMR315W-A	XIII	YMR315W-A	+	904286	904393	108	0.4815	FALSE	0	1	NA	0	0	0	0	0	0	0	0
YMR316C-A	XIII	YMR316C-A	-	905662	905973	312	0.3654	FALSE	0	1	NA	0	0	0	0	0	0	0	0
YMR316C-B	XIII	YMR316C-B	-	907321	907629	309	0.4369	FALSE	0	1	NA	0	0	0	0	0	0	0	0
YMR320W	XIII	YMR320W	+	916746	917051	306	0.3725	FALSE	0	1	NA	0	0	0	0	0	0	0	0
YMR325W	XIII	YMR325W	+	922641	923015	375	0.4747	FALSE	0	1	NA	0	0	0	0	0	0	0	0
YNL339C	XIV	YNL339C	-	371; 6080	5931; 6098	5580	0.4486	FALSE	0	1	NA	0	0	0	0	0	0	0	0
YNL339W-B	XIV	YNL339W-B	+	734	1216	483	0.4555	FALSE	0	1	NA	0	0	0	0	0	0	0	0
YNL339W-A	XIV	YNL339W-A	+	1517	2092	576	0.5017	FALSE	0	1	NA	0	0	0	0	0	0	0	0
YNL338W	XIV	YNL338W	+	6561	6719	159	0.5283	FALSE	0	1	NA	0	0	0	0	0	0	0	0
YNL337W	XIV	YNL337W	+	7165	7419	255	0.349	FALSE	0	1	NA	0	0	0	0	0	0	0	0
YNL335W	XIV	YNL335W	+	11452	12129	678	0.441	FALSE	0	1	NA	0	0	0	0	0	0	0	0
YNL334C	XIV	YNL334C	-	12208	12876	669	0.3961	FALSE	0	1	NA	0	0	0	0	0	0	0	0
YNL333W	XIV	YNL333W	+	13267	14163	897	0.4671	FALSE	0	1	NA	0	0	0	0	0	0	0	0
YNL327W	XIV	YNL327W	+	24048	27173	3126	0.4085	FALSE	0	1	NA	0	0	0	0	0	0	0	0
YNL326C	XIV	YNL326C	-	27337	28347	1011	0.3897	FALSE	0	1	NA	0	0	0	0	0	0	0	0
YNL325C	XIV	YNL325C	-	28739	31378	2640	0.3595	FALSE	0	1	NA	0	0	0	0	0	0	0	0
YNL322C	XIV	YNL322C	-	33294	34235	942	0.483	FALSE	0	1	NA	0	0	0	0	0	0	0	0
YNL321W	XIV	YNL321W	+	34696	37422	2727	0.4353	FALSE	0	1	NA	0	0	0	0	0	0	0	0
YNL319W	XIV	YNL319W	+	38642	39082	441	0.322	FALSE	0	1	NA	0	0	0	0	0	0	0	0
YNL317W	XIV	YNL317W	+	40619	42016	1398	0.4092	FALSE	0	1	NA	0	0	0	0	0	0	0	0
YNL316C	XIV	YNL316C	-	42071	43075	1005	0.396	FALSE	0	1	NA	0	0	0	0	0	0	0	0
YNL315C	XIV	YNL315C	-	43324	44280	957	0.3992	FALSE	0	1	NA	0	0	0	0	0	0	0	0
YNL307C	XIV	YNL307C	-	56446	57573	1128	0.4078	FALSE	0	1	NA	0	0	0	0	0	0	0	0
YNL306W	XIV	YNL306W	+	58155	58808	654	0.4098	FALSE	0	1	NA	0	0	0	0	0	0	0	0
YNL303W	XIV	YNL303W	+	61510	61857	348	0.2874	FALSE	0	1	NA	0	0	0	0	0	0	0	0
YNL301C	XIV	YNL301C	-	63570; 64451	64018; 64562	561	0.4474	FALSE	0	1	NA	0	0	0	0	0	0	0	0
YNL300W	XIV	YNL300W	+	65744	66052	309	0.4887	FALSE	0	1	NA	0	0	0	0	0	0	0	0
YNL296W	XIV	YNL296W	+	76273	76587	315	0.4381	FALSE	0	1	NA	0	0	0	0	0	0	0	0
YNL295W	XIV	YNL295W	+	76946	78520	1575	0.3917	FALSE	0	1	NA	0	0	0	0	0	0	0	0
YNL294C	XIV	YNL294C	-	78659	80260	1602	0.407	FALSE	0	1	NA	0	0	0	0	0	0	0	0
YNL292W	XIV	YNL292W	+	82806	84017	1212	0.4059	FALSE	0	1	NA	0	0	0	0	0	0	0	0
snR40	XIV	snR40	+	89210	89306	97	0.4124	FALSE	0	1	NA	0	0	0	0	0	0	0	0
YNL288W	XIV	YNL288W	+	90303	91424	1122	0.4332	FALSE	0	1	NA	0	0	0	0	0	0	0	0
YNL287W	XIV	YNL287W	+	91994	94801	2808	0.3661	FALSE	0	1	NA	0	0	0	0	0	0	0	0
YNL286W	XIV	YNL286W	+	95223	96080	858	0.3834	FALSE	0	1	NA	0	0	0	0	0	0	0	0
tG(UCC)N	XIV	tG(UCC)N	-	96241	96312	72	0.5694	FALSE	0	1	NA	0	0	0	0	0	0	0	0
tT(AGU)N1	XIV	tT(AGU)N1	+	104805	104877	73	0.4795	FALSE	0	1	NA	0	0	0	0	0	0	0	0
YNL280C	XIV	YNL280C	-	109095	110411	1317	0.3971	FALSE	0	1	NA	0	0	0	0	0	0	0	0
YNL276C	XIV	YNL276C	-	118431	118826	396	0.4394	FALSE	0	1	NA	0	0	0	0	0	0	0	0
YNL275W	XIV	YNL275W	+	119268	120998	1731	0.3928	FALSE	0	1	NA	0	0	0	0	0	0	0	0
YNL269W	XIV	YNL269W	+	137699	138094	396	0.404	FALSE	0	1	NA	0	0	0	0	0	0	0	0
YNL268W	XIV	YNL268W	+	138550	140385	1836	0.4259	FALSE	0	1	NA	0	0	0	0	0	0	0	0
YNL263C	XIV	YNL263C	-	146896	147840	945	0.4212	FALSE	0	1	NA	0	0	0	0	0	0	0	0
YNL257C	XIV	YNL257C	-	160631	164320	3690	0.361	FALSE	0	1	NA	0	0	0	0	0	0	0	0
YNL255C	XIV	YNL255C	-	167329	167790	462	0.4264	FALSE	0	1	NA	0	0	0	0	0	0	0	0
YNL254C	XIV	YNL254C	-	168043	169248	1206	0.3947	FALSE	0	1	NA	0	0	0	0	0	0	0	0
YNL252C	XIV	YNL252C	-	171441	172286	846	0.3865	FALSE	0	1	NA	0	0	0	0	0	0	0	0
YNL251C	XIV	YNL251C	-	172588	174315	1728	0.4265	FALSE	0	1	NA	0	0	0	0	0	0	0	0
YNL246W	XIV	YNL246W	+	185460; 185587	185491; 186349	795	0.4428	FALSE	0	1	NA	0	0	0	0	0	0	0	0
YNL245C	XIV	YNL245C	-	186346	186885	540	0.4167	FALSE	0	1	NA	0	0	0	0	0	0	0	0
YNL240C	XIV	YNL240C	-	198502	199977	1476	0.5149	FALSE	0	1	NA	0	0	0	0	0	0	0	0
YNL234W	XIV	YNL234W	+	210233	211513	1281	0.3817	FALSE	0	1	NA	0	0	0	0	0	0	0	0
YNL229C	XIV	YNL229C	-	219137	220201	1065	0.3887	FALSE	0	1	NA	0	0	0	0	0	0	0	0
YNL225C	XIV	YNL225C	-	222724	224469	1746	0.3499	FALSE	0	1	NA	0	0	0	0	0	0	0	0
snR19	XIV	snR19	-	230105	230672	568	0.3979	FALSE	0	1	NA	0	0	0	0	0	0	0	0
YNL220W	XIV	YNL220W	+	234413	235714	1302	0.3932	FALSE	0	1	NA	0	0	0	0	0	0	0	0
YNL219C	XIV	YNL219C	-	235996	237663	1668	0.3711	FALSE	0	1	NA	0	0	0	0	0	0	0	0
YNL218W	XIV	YNL218W	+	238238	240001	1764	0.398	FALSE	0	1	NA	0	0	0	0	0	0	0	0
YNL215W	XIV	YNL215W	+	244468	245430	963	0.4226	FALSE	0	1	NA	0	0	0	0	0	0	0	0
YNL214W	XIV	YNL214W	+	245617	246216	600	0.3767	FALSE	0	1	NA	0	0	0	0	0	0	0	0
YNL213C	XIV	YNL213C	-	246460	247104	645	0.3829	FALSE	0	1	NA	0	0	0	0	0	0	0	0
YNL211C	XIV	YNL211C	-	250055	250315	261	0.3525	FALSE	0	1	NA	0	0	0	0	0	0	0	0
YNL210W	XIV	YNL210W	+	250931	251743	813	0.3653	FALSE	0	1	NA	0	0	0	0	0	0	0	0
YNL209W	XIV	YNL209W	+	252059	253900	1842	0.4365	FALSE	0	1	NA	0	0	0	0	0	0	0	0
YNL208W	XIV	YNL208W	+	254418	255017	600	0.5133	FALSE	0	1	NA	0	0	0	0	0	0	0	0
YNL205C	XIV	YNL205C	-	258155	258577	423	0.3593	FALSE	0	1	NA	0	0	0	0	0	0	0	0
YNL200C	XIV	YNL200C	-	263713	264453	741	0.448	FALSE	0	1	NA	0	0	0	0	0	0	0	0
YNL191W	XIV	YNL191W	+	280432	281505	1074	0.4199	FALSE	0	1	NA	0	0	0	0	0	0	0	0
YNL188W	XIV	YNL188W	+	286308	287609	1302	0.3472	FALSE	0	1	NA	0	0	0	0	0	0	0	0
YNL187W	XIV	YNL187W	+	287994	289067	1074	0.4507	FALSE	0	1	NA	0	0	0	0	0	0	0	0
YNL185C	XIV	YNL185C	-	292193	292669	477	0.4298	FALSE	0	1	NA	0	0	0	0	0	0	0	0
YNL184C	XIV	YNL184C	-	292557	292883	327	0.4128	FALSE	0	1	NA	0	0	0	0	0	0	0	0
YNL182C	XIV	YNL182C	-	295960	297627	1668	0.3729	FALSE	0	1	NA	0	0	0	0	0	0	0	0
YNL178W	XIV	YNL178W	+	302680	303402	723	0.4329	FALSE	0	1	NA	0	0	0	0	0	0	0	0
YNL177C	XIV	YNL177C	-	303686	304615	930	0.3849	FALSE	0	1	NA	0	0	0	0	0	0	0	0
YNL175C	XIV	YNL175C	-	307401	308612	1212	0.3952	FALSE	0	1	NA	0	0	0	0	0	0	0	0
YNL173C	XIV	YNL173C	-	308957	310057	1101	0.4369	FALSE	0	1	NA	0	0	0	0	0	0	0	0
YNL171C	XIV	YNL171C	-	315629	315997	369	0.3415	FALSE	0	1	NA	0	0	0	0	0	0	0	0
YNL166C	XIV	YNL166C	-	322219	323565	1347	0.4105	FALSE	0	1	NA	0	0	0	0	0	0	0	0
YNL162W-A	XIV	YNL162W-A	+	330329	330547	219	0.3562	FALSE	0	1	NA	0	0	0	0	0	0	0	0
YNL162W	XIV	YNL162W	+	331322; 331838	331325; 332154	321	0.4299	FALSE	0	1	NA	0	0	0	0	0	0	0	0
YNL159C	XIV	YNL159C	-	338478	339347	870	0.3885	FALSE	0	1	NA	0	0	0	0	0	0	0	0
YNL158W	XIV	YNL158W	+	339612	340208	597	0.4087	FALSE	0	1	NA	0	0	0	0	0	0	0	0
YNL157W	XIV	YNL157W	+	340352	340858	507	0.3984	FALSE	0	1	NA	0	0	0	0	0	0	0	0
YNL155W	XIV	YNL155W	+	342516	343340	825	0.3782	FALSE	0	1	NA	0	0	0	0	0	0	0	0
YNL150W	XIV	YNL150W	+	349251	349658	408	0.3971	FALSE	0	1	NA	0	0	0	0	0	0	0	0
YNL149C	XIV	YNL149C	-	349367	349756	390	0.4179	FALSE	0	1	NA	0	0	0	0	0	0	0	0
YNL148C	XIV	YNL148C	-	349907	350671	765	0.4993	FALSE	0	1	NA	0	0	0	0	0	0	0	0
YNL145W	XIV	YNL145W	+	352414	352530	117	0.453	FALSE	0	1	NA	0	0	0	0	0	0	0	0
YNL144W-A	XIV	YNL144W-A	+	353061	353144	84	0.4048	FALSE	0	1	NA	0	0	0	0	0	0	0	0
YNL142W	XIV	YNL142W	+	357453	358952	1500	0.4433	FALSE	0	1	NA	0	0	0	0	0	0	0	0
YNL138W-A	XIV	YNL138W-A	+	366033; 366158	366035; 366412	258	0.4535	FALSE	0	1	NA	0	0	0	0	0	0	0	0
YNL135C	XIV	YNL135C	-	371882	372226	345	0.4609	FALSE	0	1	NA	0	0	0	0	0	0	0	0
YNL133C	XIV	YNL133C	-	374171	374692	522	0.3659	FALSE	0	1	NA	0	0	0	0	0	0	0	0
YNL130C-A	XIV	YNL130C-A	-	381245	381391	147	0.3537	FALSE	0	1	NA	0	0	0	0	0	0	0	0
YNL129W	XIV	YNL129W	+	381480	382202	723	0.3541	FALSE	0	1	NA	0	0	0	0	0	0	0	0
YNL124W	XIV	YNL124W	+	392892	394370	1479	0.4544	FALSE	0	1	NA	0	0	0	0	0	0	0	0
YNL122C	XIV	YNL122C	-	398023	398370	348	0.3707	FALSE	0	1	NA	0	0	0	0	0	0	0	0
YNL113W	XIV	YNL113W	+	412771	413199	429	0.4033	FALSE	0	1	NA	0	0	0	0	0	0	0	0
YNL111C	XIV	YNL111C	-	416940	417302	363	0.3857	FALSE	0	1	NA	0	0	0	0	0	0	0	0
YNL110C	XIV	YNL110C	-	417826	418488	663	0.362	FALSE	0	1	NA	0	0	0	0	0	0	0	0
YNL108C	XIV	YNL108C	-	419014	419826	813	0.4096	FALSE	0	1	NA	0	0	0	0	0	0	0	0
YNL107W	XIV	YNL107W	+	420098	420778	681	0.3686	FALSE	0	1	NA	0	0	0	0	0	0	0	0
YNL105W	XIV	YNL105W	+	424155	424583	429	0.366	FALSE	0	1	NA	0	0	0	0	0	0	0	0
YNL103W-A	XIV	YNL103W-A	+	426719	426808	90	0.3444	FALSE	0	1	NA	0	0	0	0	0	0	0	0
YNL103W	XIV	YNL103W	+	427735	429753	2019	0.4096	FALSE	0	1	NA	0	0	0	0	0	0	0	0
YNL099C	XIV	YNL099C	-	438567	439283	717	0.4142	FALSE	0	1	NA	0	0	0	0	0	0	0	0
YNL097C-B	XIV	YNL097C-B	-	440797	440919	123	0.3984	FALSE	0	1	NA	0	0	0	0	0	0	0	0
YNL097C	XIV	YNL097C	-	441366	442358	993	0.4642	FALSE	0	1	NA	0	0	0	0	0	0	0	0
YNL097W-A	XIV	YNL097W-A	+	441431	441586	156	0.5064	FALSE	0	1	NA	0	0	0	0	0	0	0	0
tL(CAA)N	XIV	tL(CAA)N	+	443006; 443076	443043; 443119	82	0.5	FALSE	0	1	NA	0	0	0	0	0	0	0	0
YNL094W	XIV	YNL094W	+	447611	449374	1764	0.4008	FALSE	0	1	NA	0	0	0	0	0	0	0	0
YNL093W	XIV	YNL093W	+	449868	450530	663	0.3997	FALSE	0	1	NA	0	0	0	0	0	0	0	0
YNL090W	XIV	YNL090W	+	456565	457143	579	0.4007	FALSE	0	1	NA	0	0	0	0	0	0	0	0
YNL086W	XIV	YNL086W	+	466334	466642	309	0.4757	FALSE	0	1	NA	0	0	0	0	0	0	0	0
YNL081C	XIV	YNL081C	-	476188	476619	432	0.4074	FALSE	0	1	NA	0	0	0	0	0	0	0	0
YNL080C	XIV	YNL080C	-	476932	478032	1101	0.4342	FALSE	0	1	NA	0	0	0	0	0	0	0	0
YNL075W	XIV	YNL075W	+	485607	486479	873	0.3918	FALSE	0	1	NA	0	0	0	0	0	0	0	0
YNL073W	XIV	YNL073W	+	488386	490116	1731	0.4171	FALSE	0	1	NA	0	0	0	0	0	0	0	0
YNL072W	XIV	YNL072W	+	490317	491240	924	0.4838	FALSE	0	1	NA	0	0	0	0	0	0	0	0
YNL070W	XIV	YNL070W	+	493366	493548	183	0.3497	FALSE	0	1	NA	0	0	0	0	0	0	0	0
YNL069C	XIV	YNL069C	-	493956; 494974	494524; 495001	597	0.4288	FALSE	0	1	NA	0	0	0	0	0	0	0	0
YNL067W-A	XIV	YNL067W-A	+	498538	498684	147	0.3333	FALSE	0	1	NA	0	0	0	0	0	0	0	0
YNL067W-B	XIV	YNL067W-B	+	499417	499557	141	0.3475	FALSE	0	1	NA	0	0	0	0	0	0	0	0
YNL067W	XIV	YNL067W	+	499681	500256	576	0.4115	FALSE	0	1	NA	0	0	0	0	0	0	0	0
YNL063W	XIV	YNL063W	+	507758	508702	945	0.4233	FALSE	0	1	NA	0	0	0	0	0	0	0	0
YNL057W	XIV	YNL057W	+	516403	516735	333	0.4414	FALSE	0	1	NA	0	0	0	0	0	0	0	0
tD(GUC)N	XIV	tD(GUC)N	-	519099	519169	71	0.5634	FALSE	0	1	NA	0	0	0	0	0	0	0	0
YNL046W	XIV	YNL046W	+	542304	542822	519	0.4586	FALSE	0	1	NA	0	0	0	0	0	0	0	0
tP(UGG)N1	XIV	tP(UGG)N1	+	547094; 547161	547129; 547196	72	0.6111	FALSE	0	1	NA	0	0	0	0	0	0	0	0
YNL042W-B	XIV	YNL042W-B	+	547113	547370	258	0.4341	FALSE	0	1	NA	0	0	0	0	0	0	0	0
YNL042W	XIV	YNL042W	+	548100	549290	1191	0.4072	FALSE	0	1	NA	0	0	0	0	0	0	0	0
tT(AGU)N2	XIV	tT(AGU)N2	-	560693	560765	73	0.4795	FALSE	0	1	NA	0	0	0	0	0	0	0	0
tP(UGG)N2	XIV	tP(UGG)N2	+	568115; 568182	568150; 568217	72	0.6111	FALSE	0	1	NA	0	0	0	0	0	0	0	0
tI(AAU)N1	XIV	tI(AAU)N1	-	569867	569940	74	0.5811	FALSE	0	1	NA	0	0	0	0	0	0	0	0
YNL033W	XIV	YNL033W	+	572999	573853	855	0.4503	FALSE	0	1	NA	0	0	0	0	0	0	0	0
